age,apps,first_name,full_name,height,last_name,played_positions,position,ranking,rating,team_name,team_region_name,weight
25,4,Héctor,Héctor Bellerín,178,Bellerín,-DR-MR-,Defender,475,6.885000000000001,Arsenal,England,74
25,3,Leander,Leander Dendoncker,188,Dendoncker,-DC-DMC-,Midfielder,476,6.883333333333334,Wolverhampton Wanderers,England,76
33,3,Andrea,Andrea Consigli,189,Consigli,-GK-,Goalkeeper,477,6.883333333333333,Sassuolo,Italy,82
24,3,Gianluca,Gianluca Mancini,190,Mancini,-DC-DMC-,Defender,478,6.883333333333333,Roma,Italy,77
21,4,Juan Camilo,Cucho Hernández,176,Hernández Suárez,-AML-FW-,Forward,479,6.8825,Getafe,Spain,73
23,5,Mikel,Mikel Oyarzabal,181,Oyarzabal,-AMC-AML-AMR-FW-,Forward,480,6.882000000000001,Real Sociedad,Spain,78
32,3,Ivan,Ivan Rakitic,184,Rakitic,-MC-,Midfielder,481,6.88,Sevilla,Spain,78
28,1,Joël,Joël Veltman,184,Veltman,-DC-DR-,Defender,482,6.88,Brighton,England,75
27,2,Matteo,Matteo Politano,171,Politano,-AMC-AML-AMR-FW-,Forward,483,6.88,Napoli,Italy,67
26,2,Nélson,Nélson Semedo,177,Cabral Semedo,-DR-,Defender,484,6.88,Wolverhampton Wanderers,England,67
33,6,Nicolas,Nicolas Pallois,189,Pallois,-DC-,Defender,485,6.88,Nantes,France,89
28,1,Nikola,Nikola Maksimovic,193,Maksimovic,-DC-DR-MR-,Defender,486,6.88,Napoli,Italy,82
29,3,Pablo,Pablo,188,Nascimento de Castro,-DC-,Defender,487,6.88,Bordeaux,France,86
23,6,Samuel,Samuel Kalu,176,Kalu,-ML-MR-,Forward,488,6.88,Bordeaux,France,74
28,5,Arnaud,Arnaud Souquet,179,Souquet,-DC-DR-MR-,Defender,489,6.878,Montpellier,France,74
25,6,Denis,Denis Bouanga,180,Bouanga,-FW-MC-ML-MR-,Forward,490,6.876666666666668,Saint-Etienne,France,71
24,3,Lorenzo,Lorenzo Pellegrini,186,Pellegrini,-MC-,Midfielder,491,6.876666666666666,Roma,Italy,77
29,4,Willy,Willy Boly,195,Boly,-DC-,Defender,492,6.875,Wolverhampton Wanderers,England,92
27,4,Wilfried,Wilfried Zaha,180,Zaha,-AML-AMR-FW-,Forward,493,6.874999999999999,Crystal Palace,England,66
31,5,Daniel,Daniel Parejo,182,Parejo,-MC-,Midfielder,494,6.872,Villarreal,Spain,74
25,4,Adnan,Adnan Januzaj,186,Januzaj,-AMC-AML-AMR-,Midfielder,495,6.87,Real Sociedad,Spain,76
24,2,Giovani,Giovani Lo Celso,177,Lo Celso,-FW-MC-MR-,Midfielder,496,6.87,Tottenham,England,68
31,3,Henrikh,Henrikh Mkhitaryan,177,Mkhitaryan,-FW-MC-ML-MR-,Midfielder,497,6.87,Roma,Italy,75
31,2,Moussa,Moussa Sissoko,187,Sissoko,-MC-MR-,Midfielder,498,6.869999999999999,Tottenham,England,83
25,6,Jason,Jason Denayer,184,Denayer,-DC-DMC-DR-,Defender,499,6.868333333333335,Lyon,France,70
28,5,William,William Carvalho,187,Silva de Carvalho,-DMC-,Midfielder,500,6.868,Real Betis,Spain,79
27,3,Jhon,Jhon Córdoba,188,Córdoba,-FW-,Forward,501,6.866666666666667,Hertha Berlin,Germany,85
26,3,Rani,Rani Khedira,188,Khedira,-DC-DMC-,Midfielder,502,6.866666666666666,Augsburg,Germany,84
30,5,Vincent,Vincent Pajot,180,Pajot,-MC-,Midfielder,503,6.866000000000001,Metz,France,68
25,3,Marcos,Marcos Llorente,184,Llorente,-FW-MC-,Midfielder,504,6.863333333333333,Atletico Madrid,Spain,74
22,1,Iñigo,Iñigo Vicente,178,Vicente,,Forward,505,6.86,Athletic Bilbao,Spain,67
28,1,Sergi,Sergi Gómez,185,Gómez,-DC-DR-,Defender,506,6.86,Sevilla,Spain,80
21,3,Edmond,Edmond Tapsoba,192,Tapsoba,-DC-,Defender,507,6.859999999999999,Bayer Leverkusen,Germany,80
25,2,Kenny,Kenny Tete,180,Tete,-DR-MR-,Defender,508,6.859999999999999,Fulham,England,71
26,6,Benjamin,Benjamin Bourigeaud,178,Bourigeaud,-MC-ML-MR-,Midfielder,509,6.858333333333333,Rennes,France,68
23,3,Aihen,Aihen Muñoz,175,Muñoz,-DL-,Defender,510,6.8566666666666665,Real Sociedad,Spain,72
37,3,Antonio,Antonio Mirante,193,Mirante,-GK-,Goalkeeper,511,6.8566666666666665,Roma,Italy,79
27,3,Dominique,Dominique Heintz,190,Heintz,-DC-DL-,Defender,512,6.8566666666666665,Freiburg,Germany,89
27,3,Stefan,Stefan Ortega Moreno,185,Ortega Moreno,-GK-,Goalkeeper,513,6.853333333333333,Arminia Bielefeld,Germany,88
31,6,Steven,Steven Nzonzi,196,Nzonzi,-MC-,Midfielder,514,6.853333333333333,Rennes,France,75
23,4,Martin,Martin Terrier,184,Terrier,-AML-FW-,Forward,515,6.852499999999999,Rennes,France,71
24,4,Matheus Fellipe,Matheus Pereira,175,Costa Pereira,-AMC-AML-AMR-,Forward,516,6.8500000000000005,West Bromwich Albion,England,69
28,3,Robin,Robin Knoche,190,Knoche,-DC-,Defender,517,6.8500000000000005,Union Berlin,Germany,77
22,1,Fikayo,Fikayo Tomori,185,Tomori,-DC-DR-,Defender,518,6.85,Chelsea,England,75
29,2,Gabriel Armando,Gabriel Paulista,185,de Abreu,-DC-DR-,Defender,519,6.85,Valencia,Spain,72
20,2,Marash,Marash Kumbulla,191,Kumbulla,-DC-,Defender,520,6.85,Roma,Italy,78
32,6,Damien,Damien Da Silva,184,Da Silva,-DC-,Defender,521,6.848333333333334,Rennes,France,82
26,4,Kévin Manuel,Kévin Rodrigues,170,Rodrigues,-DL-ML-,Defender,522,6.8475,Eibar,Spain,70
28,4,Paulo André,Paulo Oliveira,187,Rodrigues de Oliveira,-DC-,Defender,523,6.8475,Eibar,Spain,81
19,3,Callum,Callum Hudson-Odoi,182,Hudson-Odoi,-AML-AMR-,Forward,524,6.846666666666667,Chelsea,England,76
20,6,Cheick Oumar,Cheick Oumar Doucoure,180,Doucoure,-MC-,Midfielder,525,6.846666666666667,Lens,France,73
29,3,Christoph,Christoph Kramer,191,Kramer,-DMC-,Midfielder,526,6.846666666666667,Borussia M.Gladbach,Germany,76
22,3,Josip,Josip Brekalo,175,Brekalo,-AMC-AML-AMR-,Midfielder,527,6.846666666666667,Wolfsburg,Germany,70
32,2,Felipe,Felipe Caicedo,183,Caicedo,-FW-,Forward,528,6.845000000000001,Lazio,Italy,84
25,4,James,James Ward-Prowse,173,Ward-Prowse,-MC-MR-,Midfielder,529,6.845000000000001,Southampton,England,66
29,2,Stefan,Stefan Savic,187,Savic,-DC-,Defender,530,6.845,Atletico Madrid,Spain,81
28,5,Marko,Marko Dmitrovic,194,Dmitrovic,-GK-,Goalkeeper,531,6.843999999999999,Eibar,Spain,94
32,6,Alexandre,Alexandre Oukidja,184,Oukidja,-GK-,Goalkeeper,532,6.843333333333334,Metz,France,79
25,6,Mike,Mike Maignan,191,Maignan,-GK-,Goalkeeper,533,6.843333333333334,Lille,France,89
32,5,David,David Ferreiro,170,Ferreiro,-AML-AMR-,Midfielder,534,6.8420000000000005,SD Huesca,Spain,63
33,3,Anaitz,Anaitz Arbilla,178,Arbilla,-DC-DL-DR-,Defender,535,6.840000000000001,Eibar,Spain,76
28,2,Charles,Charles Traoré,180,Traoré,-DL-,Defender,536,6.84,Nantes,France,74
22,3,Harold,Harold Moukoudi,191,Moukoudi,-DC-,Defender,537,6.84,Saint-Etienne,France,74
38,2,Rafael De Andrade,Rafael,187,Bittencourt Pinheiro,-GK-,Goalkeeper,538,6.84,Spezia,Italy,80
27,3,Vincenzo,Vincenzo Grifo,180,Grifo,-AMC-AML-,Midfielder,539,6.84,Freiburg,Germany,76
24,6,Romain,Romain Del Castillo,172,Del Castillo,-AML-AMR-FW-,Midfielder,540,6.838333333333335,Rennes,France,60
27,6,Pierre,Pierre Lees-Melou,185,Lees-Melou,-MC-ML-MR-,Midfielder,541,6.836666666666667,Nice,France,69
23,3,Fode,Fode Ballo-Toure,182,Ballo-Toure,-DL-ML-,Defender,542,6.836666666666666,Monaco,France,70
31,3,Giacomo,Giacomo Bonaventura,180,Bonaventura,-MC-ML-MR-,Midfielder,543,6.836666666666666,Fiorentina,Italy,75
26,3,Jordan,Jordan Amavi,176,Amavi,-DL-ML-,Defender,544,6.836666666666666,Marseille,France,70
35,3,Mathieu,Mathieu Debuchy,176,Debuchy,-DC-DR-MR-,Defender,545,6.836666666666666,Saint-Etienne,France,76
30,6,Hiroki,Hiroki Sakai,183,Sakai,-DL-DR-MR-,Defender,546,6.835000000000001,Marseille,France,70
28,4,Sergio,Sergio Álvarez,183,Álvarez,-DC-MC-,Midfielder,547,6.835,Eibar,Spain,74
30,3,Kevin,Kevin Trapp,189,Trapp,-GK-,Goalkeeper,548,6.833333333333333,Eintracht Frankfurt,Germany,88
25,3,Sheraldo,Sheraldo Becker,180,Becker,-AML-AMR-,Forward,549,6.833333333333333,Union Berlin,Germany,70
26,6,Ludovic,Ludovic Ajorque,197,Ajorque,-FW-,Forward,550,6.830000000000001,Strasbourg,France,92
28,3,Stefan,Stefan Lainer,175,Lainer,-DR-MR-,Defender,551,6.830000000000001,Borussia M.Gladbach,Germany,73
28,2,Renato,Renato Steffen,170,Steffen,-ML-MR-,Midfielder,552,6.83,Wolfsburg,Germany,65
30,4,Enda,Enda Stevens,183,Stevens,-DC-DL-ML-,Defender,553,6.8275,Sheffield United,England,78
22,3,Orel,Orel Mangala,178,Mangala,-DMC-,Midfielder,554,6.826666666666667,VfB Stuttgart,Germany,78
29,3,Sebastian,Sebastian Andersson,190,Andersson,-FW-,Forward,555,6.826666666666667,FC Koln,Germany,86
24,6,Maxwel,Maxwel Cornet,179,Cornet,-FW-ML-MR-,Forward,556,6.825,Lyon,France,69
28,3,Alisson,Alisson,191,Ramses Becker,-GK-,Goalkeeper,557,6.823333333333334,Liverpool,England,91
36,6,Dante Bonfim,Dante,188,Costa Santos,-DC-,Defender,558,6.82,Nice,France,89
32,3,Jérôme,Jérôme Boateng,192,Boateng,-DC-DR-,Defender,559,6.82,Bayern Munich,Germany,90
26,2,Raphael Adelino José,Raphael Guerreiro,170,Guerreiro,-DL-MC-ML-,Defender,560,6.82,Borussia Dortmund,Germany,71
23,2,Stefan,Stefan Posch,188,Posch,-DC-DR-,Defender,561,6.82,Hoffenheim,Germany,82
20,5,Maxence,Maxence Caqueret,174,Caqueret,-DMC-,Midfielder,562,6.8180000000000005,Lyon,France,63
25,4,Antonin,Antonin Bobichon,170,Bobichon,-AMC-AML-,Midfielder,563,6.8175,Angers,France,72
31,3,Andy,Andy Carroll,193,Carroll,-FW-,Forward,564,6.816666666666666,Newcastle United,England,79
20,5,Loic,Loic Bade,191,Bade,-DC-,Defender,565,6.816000000000001,Lens,France,89
23,2,Gleison Bremer,Bremer,188,Silva Nascimento,-DC-,Defender,566,6.8149999999999995,Torino,Italy,80
26,3,Ihlas,Ihlas Bebou,183,Bebou,-AMC-AML-AMR-FW-,Forward,567,6.8133333333333335,Hoffenheim,Germany,72
26,4,Hélder Wander,Hélder Costa,178,Sousa de Azevedo e Costa,-AMC-AML-AMR-,Forward,568,6.812500000000001,Leeds,England,73
22,5,Lamine,Lamine Fomba,188,Fomba,-DMC-,Midfielder,569,6.812,Nimes,France,68
30,2,Rafael,Rafael Tolói,185,Toloi,-DC-,Defender,570,6.8100000000000005,Atalanta,Italy,75
21,6,Alban,Alban Lafont,193,Lafont,-GK-,Goalkeeper,571,6.81,Nantes,France,82
27,1,Massadio,Massadio Haidara,179,Haidara,-DL-,Defender,572,6.81,Lens,France,76
27,4,Michael,Michael Keane,191,Keane,-DC-DR-,Defender,573,6.81,Everton,England,82
19,5,Melvin,Melvin Bard,173,Bard,,Defender,574,6.808000000000002,Lyon,France,65
23,3,Unai,Unai Núñez,186,Núñez,-DC-,Defender,575,6.8066666666666675,Athletic Bilbao,Spain,80
28,6,Andrei,Andrei Girotto,186,Girotto,-DC-DMC-,Midfielder,576,6.805,Nantes,France,79
26,3,Cédric,Cédric Brunner,180,Brunner,-DR-,Defender,577,6.803333333333334,Arminia Bielefeld,Germany,75
23,3,Clement,Clement Michelin,178,Michelin,-DR-MR-,Defender,578,6.803333333333334,Lens,France,63
38,3,Rodrigo,Rodrigo Palacio,176,Palacio,-AMC-AML-AMR-FW-,Forward,579,6.803333333333334,Bologna,Italy,70
25,6,Valentin,Valentin Rongier,172,Rongier,-MC-,Midfielder,580,6.803333333333334,Marseille,France,70
24,3,Yves,Yves Bissouma,182,Bissouma,-MC-,Midfielder,581,6.803333333333334,Brighton,England,80
28,4,Jonjo,Jonjo Shelvey,184,Shelvey,-MC-,Midfielder,582,6.8025,Newcastle United,England,80
32,6,Bruno,Bruno Ecuele Manga,186,Ecuele Manga,-DC-DR-,Defender,583,6.801666666666667,Dijon,France,76
23,6,Jean-Kevin,Jean-Kevin Duverne,184,Duverne,-DC-,Defender,584,6.801666666666666,Brest,France,71
25,3,Manuel,Manuel Akanji,187,Akanji,-DC-,Defender,585,6.8,Borussia Dortmund,Germany,91
31,1,Sergio,Sergio Escudero,176,Escudero,-DL-ML-,Defender,586,6.8,Sevilla,Spain,65
26,4,Fabio Henrique,Fabinho,188,Tavares,-DMC-DR-,Midfielder,587,6.7975,Liverpool,England,78
29,6,Nicolas,Nicolas de Preville,177,de Preville,-AMC-AML-AMR-FW-,Forward,588,6.796666666666666,Bordeaux,France,77
19,5,Kévin,Kévin Denkey,181,Denkey,-FW-,Forward,589,6.795999999999999,Nimes,France,81
34,2,Aleksandar,Aleksandar Kolarov,187,Kolarov,-DC-DL-ML-,Defender,590,6.795,Inter,Italy,81
26,4,Aleksandar,Aleksandar Mitrovic,189,Mitrovic,-FW-,Forward,591,6.795,Fulham,England,90
22,2,Cristian,Cristian Romero,185,Romero,-DC-,Defender,592,6.795,Atalanta,Italy,79
28,2,Esteban,Esteban Burgos,190,Burgos,-DC-,Defender,593,6.795,Eibar,Spain,80
34,4,Oier,Oier Sanjurjo,178,Sanjurjo,-DC-DR-MC-,Defender,594,6.795,Osasuna,Spain,72
33,3,Sebastien,Sebastien De Maio,190,De Maio,-DC-,Defender,595,6.793333333333333,Udinese,Italy,90
28,4,Jeff,Jeff Hendrick,185,Hendrick,-MC-MR-,Midfielder,596,6.79,Newcastle United,England,79
25,4,Nemanja,Nemanja Maksimovic,189,Maksimovic,-DMC-,Midfielder,597,6.789999999999999,Getafe,Spain,78
29,4,Florian,Florian Lejeune,189,Lejeune,-DC-,Defender,598,6.7875,Deportivo Alaves,Spain,89
27,3,Diego Carlos,Diego Carlos,185,Santos Silva,-DC-,Defender,599,6.786666666666666,Sevilla,Spain,79
21,3,Martín,Martín Zubimendi,180,Zubimendi,-DMC-,Midfielder,600,6.786666666666666,Real Sociedad,Spain,74
24,3,Souleyman,Souleyman Doumbia,177,Doumbia,-DL-,Defender,601,6.786666666666666,Angers,France,73
22,5,Jordan,Jordan Lotomba,177,Lotomba,-DL-DR-,Defender,602,6.784000000000001,Nice,France,67
33,6,Pierrick,Pierrick Capelle,181,Capelle,-DL-MC-ML-MR-,Midfielder,603,6.783333333333334,Angers,France,73
28,3,Remo,Remo Freuler,180,Freuler,-DMC-,Midfielder,604,6.783333333333334,Atalanta,Italy,80
25,4,Miguel Angelo,Xeka,186,da Silva Rocha,-MC-,Midfielder,605,6.782500000000001,Lille,France,80
26,5,Guido,Guido Rodríguez,185,Rodríguez,-DMC-,Midfielder,606,6.782000000000001,Real Betis,Spain,78
26,4,Lucas,Lucas Torró,190,Torró,-DMC-,Midfielder,607,6.78,Osasuna,Spain,77
24,3,Morten,Morten Thorsby,189,Thorsby,-MC-ML-MR-,Midfielder,608,6.78,Sampdoria,Italy,79
22,1,Nahuel,Nahuel Molina,175,Molina,-DR-,Defender,609,6.78,Udinese,Italy,70
33,3,Stefan,Stefan Radu,183,Radu,-DC-DL-,Defender,610,6.78,Lazio,Italy,79
24,4,Jan,Jan Bednarek,189,Bednarek,-DC-,Defender,611,6.779999999999999,Southampton,England,77
27,5,Francisco,Paco Alcácer,175,Alcácer,-AMR-FW-,Forward,612,6.7780000000000005,Villarreal,Spain,72
25,3,Marko,Marko Rog,180,Rog,-DMC-,Midfielder,613,6.776666666666667,Cagliari,Italy,73
33,3,Christopher,Christopher Trimmel,189,Trimmel,-DC-DR-MR-,Defender,614,6.776666666666666,Union Berlin,Germany,82
24,6,Ghislain,Ghislain Konan,176,Konan,-DL-,Defender,615,6.776666666666666,Reims,France,71
33,6,Benoît,Benoît Costil,187,Costil,-GK-,Goalkeeper,616,6.773333333333333,Bordeaux,France,88
22,3,Ismael,Ismael Bennacer,175,Bennacer,-DMC-,Midfielder,617,6.773333333333333,AC Milan,Italy,70
30,4,Cheikhou,Cheikhou Kouyaté,189,Kouyaté,-DC-DMC-DR-,Midfielder,618,6.7725,Crystal Palace,England,83
28,3,Mohamed Naser,Mohamed Elneny,180,El Sayed Elneny,-DMC-,Midfielder,619,6.7700000000000005,Arsenal,England,70
25,4,Isaac,Isaac Hayden,185,Hayden,-DMC-,Midfielder,620,6.77,Newcastle United,England,79
27,4,Joe,Joe Bryan,173,Bryan,-DL-MC-ML-,Defender,621,6.77,Fulham,England,75
30,3,José Antonio,Josan,175,Ferrández Pomares,,Midfielder,622,6.77,Elche,Spain,68
31,2,Milan,Milan Badelj,186,Badelj,-MC-,Midfielder,623,6.77,Genoa,Italy,76
29,6,Baptiste,Baptiste Reynet,185,Reynet,-GK-,Goalkeeper,624,6.7683333333333335,Nimes,France,85
25,6,Sada,Sada Thioub,179,Thioub,-AMR-,Forward,625,6.7683333333333335,Angers,France,75
24,3,Marcel,Marcel Hartel,177,Hartel,-MC-ML-,Midfielder,626,6.766666666666667,Arminia Bielefeld,Germany,68
23,6,Remi,Remi Oudin,185,Oudin,-AMC-AMR-,Forward,627,6.766666666666666,Bordeaux,France,79
29,5,Jorge,Jorge Pulido,186,Pulido,-DC-,Defender,628,6.766,SD Huesca,Spain,72
24,4,Çaglar,Çaglar Söyüncü,185,Söyüncü,-DC-,Defender,629,6.765,Leicester,England,82
24,4,Unai,Unai López,170,López,-MC-MR-,Midfielder,630,6.765,Athletic Bilbao,Spain,68
24,3,Davinson,Davinson Sánchez,187,Sánchez,-DC-,Defender,631,6.763333333333333,Tottenham,England,81
31,4,Ryan,Ryan Bertrand,179,Bertrand,-DC-DL-ML-,Defender,632,6.7625,Southampton,England,85
22,4,Christ-Emmanuel Faitout,Faitout Maouassa,170,Maouassa,-DL-ML-,Defender,633,6.760000000000001,Rennes,France,73
27,3,Jonathan,Jonathan Calleri,181,Calleri,-FW-,Forward,634,6.760000000000001,Osasuna,Spain,72
25,3,Munir,Munir El Haddadi,175,El Haddadi,-AML-AMR-FW-,Forward,635,6.760000000000001,Sevilla,Spain,69
19,3,Rayan,Rayan Aït-Nouri,179,Aït-Nouri,-DL-,Defender,636,6.760000000000001,Angers,France,70
28,4,Djené,Djené Dakonam,187,Dakonam,-DC-,Defender,637,6.7575,Getafe,Spain,72
22,4,Grady,Grady Diangana,180,Diangana,-AML-AMR-,Midfielder,638,6.757499999999999,West Bromwich Albion,England,73
21,3,Alexis,Alexis Saelemaekers,180,Saelemaekers,-AMR-,Defender,639,6.756666666666667,AC Milan,Italy,72
30,3,Karim,Karim Bellarabi,184,Bellarabi,-FW-MC-ML-MR-,Forward,640,6.756666666666667,Bayer Leverkusen,Germany,81
23,3,Kieran,Kieran Tierney,178,Tierney,-DC-DL-ML-,Defender,641,6.756666666666667,Arsenal,England,70
22,2,Ruben,Ruben Vargas,174,Vargas,-AML-,Midfielder,642,6.755,Augsburg,Germany,67
24,5,Andoni,Andoni Gorosabel,174,Gorosabel,-DR-,Defender,643,6.7540000000000004,Real Sociedad,Spain,73
25,5,Joseph,Joseph Aidoo,180,Aidoo,-DC-,Defender,644,6.754,Celta Vigo,Spain,80
17,3,Florian,Florian Wirtz,175,Wirtz,,Midfielder,645,6.753333333333334,Bayer Leverkusen,Germany,68
29,4,Raúl,Raúl Jiménez,190,Jiménez,-FW-,Forward,646,6.7524999999999995,Wolverhampton Wanderers,England,76
27,5,Alexandre,Álex Moreno,179,Moreno Lopera,-DL-ML-,Defender,647,6.752,Real Betis,Spain,68
29,5,Salvador,Salvi Sánchez,175,Sánchez Ponce,,Midfielder,648,6.752,Cadiz,Spain,64
25,6,Presnel,Presnel Kimpembe,183,Kimpembe,-DC-,Defender,649,6.751666666666666,Paris Saint-Germain,France,77
28,3,Chris,Chris Wood,191,Wood,-FW-,Forward,650,6.75,Burnley,England,81
22,3,Douglas Luiz,Douglas Luiz,175,Soares de Paulo,-MC-,Midfielder,651,6.75,Aston Villa,England,66
24,3,Rodrigo,Rodrigo,191,Hernández Cascante,-DMC-,Midfielder,652,6.75,Manchester City,England,82
33,6,Romain,Romain Hamouma,178,Hamouma,-FW-MC-ML-MR-,Forward,653,6.748333333333334,Saint-Etienne,France,76
25,5,Renato,Renato Tapia,185,Tapia,-DC-DMC-,Midfielder,654,6.748,Celta Vigo,Spain,78
33,4,Ángel,Ángel Rodríguez,172,Rodríguez,-FW-,Forward,655,6.7475000000000005,Getafe,Spain,68
33,3,Arturo,Arturo Vidal,180,Vidal,-MC-MR-,Midfielder,656,6.746666666666667,Inter,Italy,75
30,3,Oliver,Oliver Baumann,187,Baumann,-GK-,Goalkeeper,657,6.746666666666667,Hoffenheim,Germany,80
28,5,Cristian,Portu,178,Portugués Manzanera,-AMC-AML-AMR-FW-,Forward,658,6.746,Real Sociedad,Spain,70
31,2,Raúl,Raúl García,180,García,-DC-DL-ML-,Defender,659,6.745,Real Valladolid,Spain,74
23,5,Boulaye,Boulaye Dia,180,Dia,-FW-,Forward,660,6.744,Reims,France,75
30,3,Yuri,Yuri,181,Berchiche Izeta,-DL-ML-,Defender,661,6.743333333333333,Athletic Bilbao,Spain,79
24,5,Rubén,Rubén Duarte,180,Duarte,-DL-,Defender,662,6.742,Deportivo Alaves,Spain,75
22,3,Elvis,Elvis Rexhbecaj,182,Rexhbecaj,-MC-,Midfielder,663,6.739999999999999,FC Koln,Germany,73
25,3,Laureano Antonio,Toni Villa,172,Villa Suárez,-AML-,Midfielder,664,6.739999999999999,Real Valladolid,Spain,63
22,6,Arnaud,Arnaud Nordin,170,Nordin,-AMC-AML-AMR-,Forward,665,6.738333333333332,Saint-Etienne,France,69
32,4,Chris,Chris Basham,190,Basham,-DC-DR-MC-MR-,Defender,666,6.7375,Sheffield United,England,80
28,3,Jorge,Koke,176,Resurrección,-MC-ML-MR-,Midfielder,667,6.736666666666667,Atletico Madrid,Spain,77
27,6,Youssouf,Youssouf Sabaly,173,Sabaly,-DL-DR-MR-,Defender,668,6.734999999999999,Bordeaux,France,67
28,3,Christophe,Christophe Herelle,188,Herelle,-DC-DR-,Defender,669,6.733333333333333,Brest,France,75
21,6,Facundo,Facundo Medina,184,Medina,-DC-DL-,Defender,670,6.733333333333333,Lens,France,76
33,4,Julien,Julien Faussurier,173,Faussurier,-DL-DR-MR-,Defender,671,6.7325,Brest,France,70
23,1,Alex,Alex Meret,190,Meret,-GK-,Goalkeeper,672,6.73,Napoli,Italy,82
23,3,Emil,Emil Audero,190,Audero,-GK-,Goalkeeper,673,6.73,Sampdoria,Italy,83
34,6,Ismael,Ismael Traoré,184,Traoré,-DC-DR-,Defender,674,6.73,Angers,France,87
29,1,Mathew,Mathew Leckie,181,Leckie,-AMC-AML-AMR-,Midfielder,675,6.73,Hertha Berlin,Germany,82
27,2,Omar,Omar Colley,192,Colley,-DC-,Defender,676,6.73,Sampdoria,Italy,88
33,3,Andreas,Andreas Luthe,195,Luthe,-GK-,Goalkeeper,677,6.7299999999999995,Union Berlin,Germany,85
28,3,Pavel,Pavel Kaderábek,182,Kaderábek,-DR-ML-MR-,Defender,678,6.7299999999999995,Hoffenheim,Germany,81
23,3,Sergio,Sergio Córdova,188,Córdova,-FW-,Forward,679,6.7299999999999995,Arminia Bielefeld,Germany,87
23,5,Emre,Emre Mor,169,Mor,-AML-AMR-,Forward,680,6.728,Celta Vigo,Spain,64
29,5,Marc,Marc Bartra,184,Bartra,-DC-DMC-DR-,Defender,681,6.728,Real Betis,Spain,70
23,3,Anderson-Lenda,Anderson-Lenda Lucoqui,180,Lucoqui,-DL-,Defender,682,6.726666666666667,Arminia Bielefeld,Germany,75
28,3,Daniel,Daniel Carvajal,173,Carvajal,-DR-,Defender,683,6.726666666666667,Real Madrid,Spain,73
22,4,Steven,Steven Alzate,180,Alzate,-DMC-,Midfielder,684,6.7250000000000005,Brighton,England,75
22,2,Felix,Felix Passlack,170,Passlack,-DR-MC-MR-,Midfielder,685,6.725,Borussia Dortmund,Germany,74
25,4,Mauro,Mauro Arambarri,175,Arambarri,-DMC-,Midfielder,686,6.725,Getafe,Spain,74
23,2,Paolo,Paolo Ghiglione,187,Ghiglione,-DR-MR-,Defender,687,6.725,Genoa,Italy,80
31,3,Gonzalo,Gonzalo Verdú,185,Verdú,,Defender,688,6.723333333333334,Elche,Spain,80
30,5,Edgar,Edgar Méndez,187,Méndez,-ML-MR-,Midfielder,689,6.720000000000001,Deportivo Alaves,Spain,80
26,5,Pierre-Yves,Pierre-Yves Hamel,189,Hamel,,Forward,690,6.720000000000001,Lorient,France,76
29,3,Florian,Florian Niederlechner,187,Niederlechner,-AMC-AMR-FW-,Forward,691,6.72,Augsburg,Germany,86
25,6,Moses,Moses Simon,168,Simon,-FW-MC-ML-MR-,Forward,692,6.716666666666666,Nantes,France,66
31,4,Federico,Federico Fernández,190,Fernández,-DC-,Defender,693,6.715,Newcastle United,England,83
22,4,Trent,Trent Alexander-Arnold,175,Alexander-Arnold,-DR-MR-,Defender,694,6.715,Liverpool,England,69
30,3,Gaetano,Gaetano Letizia,173,Letizia,-DL-DR-ML-MR-,Defender,695,6.713333333333334,Benevento,Italy,63
26,3,Matthias,Matthias Ginter,191,Ginter,-DC-DMC-DR-,Defender,696,6.713333333333334,Borussia M.Gladbach,Germany,89
31,3,Norberto,Neto,190,Murara Neto,-GK-,Goalkeeper,697,6.713333333333334,Barcelona,Spain,84
33,3,Peter,Peter Pekarík,177,Pekarík,-DL-DR-,Defender,698,6.713333333333334,Hertha Berlin,Germany,73
35,6,Steve,Steve Mandanda,185,Mandanda,-GK-,Goalkeeper,699,6.713333333333334,Marseille,France,82
23,3,Xaver,Xaver Schlager,174,Schlager,-MC-,Midfielder,700,6.713333333333334,Wolfsburg,Germany,76
25,5,Gelson Dany,Gelson Martins,173,Batalha Martins,-MR-,Midfielder,701,6.712000000000001,Monaco,France,72
31,2,Dale,Dale Stephens,169,Stephens,-MC-,Midfielder,702,6.710000000000001,Burnley,England,71
33,5,Manuel,Nolito,175,Agudo Durán,-AML-,Forward,703,6.710000000000001,Celta Vigo,Spain,65
20,2,Chris,Chris Richards,188,Richards,,Defender,704,6.71,Bayern Munich,Germany,81
28,1,Frederik,Frederik Rönnow,190,Rönnow,-GK-,Goalkeeper,705,6.71,Schalke 04,Germany,77
26,3,Manuel,Manuel Lazzari,174,Lazzari,-MR-,Midfielder,706,6.71,Lazio,Italy,67
30,3,Kevin,Kevin Kampl,178,Kampl,-MC-ML-MR-,Midfielder,707,6.706666666666667,RasenBallsport Leipzig,Germany,66
28,3,Matt,Matt Doherty,182,Doherty,-DL-DR-MR-,Defender,708,6.706666666666667,Tottenham,England,80
28,3,Philipp,Philipp Klement,175,Klement,-MC-,Midfielder,709,6.706666666666667,VfB Stuttgart,Germany,72
21,3,Sebastiaan,Sebastiaan Bornauw,191,Bornauw,-DC-,Defender,710,6.706666666666667,FC Koln,Germany,81
