age,apps,first_name,full_name,height,last_name,played_positions,position,ranking,rating,team_name,team_region_name,weight
22,1,Timothy,Timothy Fosu-Mensah,190,Fosu-Mensah,-DC-DR-,Defender,448,6.92,Manchester United,England,78
26,3,Maximilian,Maximilian Arnold,184,Arnold,-MC-MR-,Midfielder,449,6.919999999999999,Wolfsburg,Germany,74
23,4,Robin,Robin Le Normand,187,Le Normand,-DC-,Defender,450,6.9175,Real Sociedad,Spain,80
28,4,Danny,Danny Ings,178,Ings,-AMC-FW-,Forward,451,6.9174999999999995,Southampton,England,73
27,4,Sergio,Sergio Herrera,192,Herrera,-GK-,Goalkeeper,452,6.9174999999999995,Osasuna,Spain,82
23,3,José Antonio,Tete Morente,180,Morente Oliva,,Midfielder,453,6.916666666666667,Elche,Spain,76
26,3,Matteo,Matteo Ricci,175,Ricci,,Midfielder,454,6.916666666666667,Spezia,Italy,63
23,6,Paul,Paul Bernardoni,190,Bernardoni,-GK-,Goalkeeper,455,6.916666666666667,Angers,France,78
23,3,Roland,Roland Sallai,183,Sallai,-AMC-AML-AMR-FW-,Midfielder,456,6.916666666666667,Freiburg,Germany,76
36,2,Giorgio,Giorgio Chiellini,187,Chiellini,-DC-,Defender,457,6.915,Juventus,Italy,85
32,2,Juan,Juan Cuadrado,179,Cuadrado,-DR-FW-MC-ML-MR-,Midfielder,458,6.915,Juventus,Italy,72
29,3,Yassine,Yassine Bounou,192,Bounou,-GK-,Goalkeeper,459,6.913333333333334,Sevilla,Spain,78
25,4,Anthony,Anthony Briancon,185,Briancon,-DC-,Defender,460,6.9125000000000005,Nimes,France,79
21,3,Dayot,Dayot Upamecano,186,Upamecano,-DC-,Defender,461,6.91,RasenBallsport Leipzig,Germany,90
22,2,Weston,Weston McKennie,185,McKennie,-DC-MC-,Midfielder,462,6.904999999999999,Juventus,Italy,84
32,4,Damián,Damián Suárez,172,Suárez,-DR-,Defender,463,6.9025,Getafe,Spain,61
26,1,Emil,Emil Krafth,184,Krafth,-DC-DR-,Defender,464,6.9,Newcastle United,England,83
22,1,Jeff,Jeff Reine-Adélaïde,183,Reine-Adélaïde,-AMC-AMR-FW-,Midfielder,465,6.9,Lyon,France,75
22,4,Marc,Marc Cucurella,172,Cucurella,-DL-ML-,Midfielder,466,6.9,Getafe,Spain,66
31,4,Lucas,Lucas Deaux,188,Deaux,-DC-DMC-,Midfielder,467,6.8975,Nimes,France,82
28,2,Koen,Koen Casteels,197,Casteels,-GK-,Goalkeeper,468,6.895,Wolfsburg,Germany,78
22,5,Ronaël,Ronaël Pierre-Gabriel,177,Pierre-Gabriel,-DL-DR-,Defender,469,6.894,Brest,France,76
34,6,Jessy,Jessy Moulin,185,Moulin,-GK-,Goalkeeper,470,6.8933333333333335,Saint-Etienne,France,88
23,4,Renato Júnior,Renato Sanches,176,Luz Sanches,-MC-MR-,Midfielder,471,6.8925,Lille,France,70
24,2,Robert,Robert Skov,185,Skov,-DL-ML-MR-,Forward,472,6.890000000000001,Hoffenheim,Germany,78
26,3,Adrien,Adrien Tameze,180,Tameze,-MC-,Midfielder,473,6.886666666666667,Verona,Italy,78
